row_id,place_id,place_name,city,state,category,latitude,longitude,visit_date,visit_year,visit_month,visit_month_name,day_of_week,is_weekend,season,time_of_day,weather_condition,temperature_c,humidity_percent,rainfall_mm,weather_suitability_score,user_rating,review_text,sentiment_score,sentiment_label,crowd_level,crowd_numeric,entry_free,entry_fee_inr,visit_duration,travel_type,would_revisit,would_recommend,final_recommendation_score
11,PL7369,Ramoji Film City,Hyderabad,Telangana,Cultural,17.254139000000002,78.679795,2021-04-16,2021,4,April,Friday,No,Spring,Evening,Partly Cloudy,33.3,60.0,1.7,0.95,4.8,Fine place for a quick stop during your city tour,0.0,Neutral,Medium,2.0,Yes,0.0,< 1 hour,Group,Yes,Yes,0.7505
12,PL3282,Meenakshi Temple,Madurai,Tamil Nadu,Religious,9.919018,78.120913,2019-05-01,2019,5,May,Wednesday,No,Spring,Night,Foggy,23.4,60.0,1.4,0.24,4.9,Excellent crowd management and great facilities available,1.0,Positive,Low,1.0,No,50.0,4-6 hours,Couple,No,Yes,0.804
13,PL4819,Lotus Temple,Delhi,Delhi,Religious,28.550959,77.25966299999999,2024-02-01,2024,2,February,Thursday,No,Summer,Morning,Foggy,36.3,68.0,2.8,0.23,4.4,Amazing historical significance and stunning architecture,1.0,Positive,High,3.0,No,50.0,Full Day,Solo,,,0.5915
14,PL3282,Meenakshi Temple,Madurai,Tamil Nadu,Religious,9.918159,78.114667,2023-12-12,2023,12,December,Tuesday,No,Winter,Night,Heavy Rain,14.0,43.0,40.3,0.39,5.0,Very informative guides and well preserved heritage site,,,Medium,2.0,No,30.0,1-2 hours,,Yes,Yes,0.6225
15,PL7901,Hazratbal Shrine,Srinagar,Jammu & Kashmir,Religious,34.128423,74.831554,2021-01-15,2021,1,January,Friday,No,Summer,Morning,Cloudy,35.9,31.0,19.8,0.56,4.6,"Unforgettable experience, will definitely visit again soon",1.0,Positive,Low,1.0,Yes,0.0,1-2 hours,Couple,Yes,Yes,0.866
16,PL8890,Nahargarh Fort,Jaipur,Rajasthan,Historic,26.941038000000002,75.811444,2021-08-30,2021,8,August,Monday,No,Monsoon,Evening,Cloudy,26.5,,21.8,0.4,4.3,"Average attraction, suitable for tourists visiting nearby",0.0,Neutral,Low,1.0,Yes,0.0,2-4 hours,Solo,,Yes,0.683
17,PL7835,Hawa Mahal,Jaipur,Rajasthan,Historic,26.926299,75.831003,2020-07-16,2020,7,July,Thursday,No,Monsoon,Evening,Foggy,23.9,95.0,1.5,0.13,4.9,Amazing historical significance and stunning architecture,1.0,Positive,Medium,2.0,Yes,0.0,Full Day,Group,Yes,Yes,0.6765
18,PL8460,Karanji Lake,Mysore,Karnataka,Natural,12.297936,76.649413,2020-04-17,2020,4,April,Friday,No,Spring,Night,Sunny,22.4,54.0,2.0,,4.5,,0.0,Neutral,High,3.0,No,150.0,4-6 hours,Group,Yes,Yes,0.6075
19,PL8858,Elephanta Caves,Mumbai,Maharashtra,Historic,18.960820000000002,72.934038,2020-05-24,2020,5,May,Sunday,Yes,Spring,Afternoon,Light Rain,20.8,41.0,4.0,0.66,4.2,"Absolutely breathtaking experience, must visit for everyone",1.0,Positive,High,3.0,No,75.0,< 1 hour,Solo,Yes,Yes,0.687
20,PL6341,Siddhivinayak Temple,Mumbai,Maharashtra,Religious,19.012271000000002,72.831294,2022-06-18,2022,6,June,Saturday,Yes,Monsoon,Morning,Cloudy,26.4,79.0,40.8,0.53,5.0,"Moderate crowd, facilities are acceptable for the price",0.0,Neutral,High,3.0,Yes,0.0,1-2 hours,Group,No,Yes,0.5775
21,PL2700,Mughal Gardens,Srinagar,Jammu & Kashmir,Natural,34.120044,74.869662,2021-04-15,2021,4,April,Thursday,No,Spring,Morning,Heavy Rain,24.8,75.0,31.5,0.13,4.9,"Unforgettable experience, will definitely visit again soon",1.0,,Low,1.0,No,40.0,Full Day,Couple,Yes,Yes,0.7765
22,PL2849,Varanasi Ghats,Varanasi,Uttar Pradesh,Religious,25.315917,83.00995400000001,2023-11-27,2023,11,November,Monday,No,Winter,Morning,Heavy Rain,5.6,59.0,14.9,0.33,4.6,"Loved the local food stalls nearby, great overall trip",1.0,Positive,Medium,2.0,Yes,0.0,4-6 hours,Family,,Yes,0.7085
23,PL2849,Varanasi Ghats,Varanasi,Uttar Pradesh,Religious,25.321120999999998,83.010416,2024-02-29,2024,2,February,Thursday,No,Summer,Evening,Cloudy,32.0,48.0,4.0,0.73,4.3,One of the most beautiful places I have ever seen in my life,1.0,Positive,High,3.0,No,500.0,Full Day,Couple,Yes,Yes,0.7105
24,PL6955,Victoria Memorial,Kolkata,West Bengal,Historic,22.548821999999998,88.340367,2021-04-05,2021,4,April,Monday,No,Spring,Afternoon,Light Rain,25.4,59.0,11.5,0.48,4.9,Incredible architecture that leaves you speechless completely,,,Medium,2.0,Yes,,2-4 hours,Group,Yes,Yes,0.764
25,PL9654,Kashi Vishwanath Temple,Varanasi,Uttar Pradesh,Religious,25.312069,83.006427,2020-11-27,2020,11,November,Friday,No,Winter,Night,Windy,16.4,63.0,1.9,0.72,4.2,Amazing historical significance and stunning architecture,,,Medium,2.0,No,30.0,Full Day,Business,Yes,Yes,0.782
26,PL0876,Howrah Bridge,Kolkata,West Bengal,Monument,22.581638,88.34674,2022-06-03,2022,6,June,Friday,No,Monsoon,Afternoon,Cloudy,29.2,80.0,27.6,0.56,4.5,One of the most beautiful places I have ever seen in my life,1.0,,High,3.0,No,250.0,4-6 hours,Solo,Yes,,0.68
27,PL5114,Hadimba Temple,Manali,Himachal Pradesh,Religious,32.242655000000006,77.193068,2020-09-09,2020,9,September,Wednesday,No,Monsoon,Night,Clear,,75.0,1.5,0.91,4.5,"Typical tourist spot, does the job for a short visit",0.0,Neutral,Low,1.0,No,20.0,1-2 hours,Business,No,Yes,0.8225
28,PL4800,Thirumalai Nayakkar Palace,Madurai,Tamil Nadu,Historic,9.915033000000001,78.122395,2022-06-26,2022,6,June,Sunday,Yes,Monsoon,Evening,Clear,25.2,76.0,0.7,0.78,5.0,"Not worth the entry fee, basic facilities were lacking",-1.0,Negative,High,3.0,No,500.0,2-4 hours,Couple,Yes,Yes,0.515
29,PL7736,Jantar Mantar,Jaipur,Rajasthan,Historic,26.924562,75.82415900000001,2020-10-31,2020,10,October,Saturday,Yes,Winter,Evening,Light Rain,9.5,68.0,33.0,0.47,3.7,Fine place for a quick stop during your city tour,0.0,Neutral,High,3.0,No,150.0,< 1 hour,Solo,Yes,Yes,0.4845
30,PL5443,Backwaters,Alleppey,Kerala,Natural,9.493475,76.33971100000001,2020-10-18,2020,10,October,Sunday,Yes,Winter,Morning,Heavy Rain,14.3,58.0,21.7,0.4,4.9,One of the most beautiful places I have ever seen in my life,1.0,Positive,High,3.0,No,40.0,< 1 hour,Family,Yes,Yes,0.664
31,PL9604,Jal Mahal,Jaipur,Rajasthan,Natural,26.955289,75.846582,2024-04-28,2024,4,April,Sunday,Yes,Spring,Morning,Light Rain,23.4,70.0,47.3,0.45,3.2,Excellent crowd management and great facilities available,1.0,Positive,Medium,2.0,No,50.0,2-4 hours,Family,Yes,Yes,0.6545
32,PL7211,Doddabetta Peak,Ooty,Tamil Nadu,Natural,11.394767,76.736744,2020-02-27,2020,2,February,Thursday,No,Summer,Morning,Heavy Rain,30.8,23.0,42.0,0.34,4.0,Reasonable entry fee for what the place offers visitors,0.0,Neutral,Low,1.0,Yes,0.0,Full Day,Group,Yes,Yes,0.65
33,PL7999,Wagah Border,Amritsar,Punjab,Cultural,31.608644,74.57344499999999,2024-08-22,2024,8,August,Thursday,No,Monsoon,Afternoon,Heavy Rain,29.6,82.0,40.4,0.14,5.0,Reasonable entry fee for what the place offers visitors,0.0,Neutral,Medium,2.0,No,500.0,< 1 hour,Solo,Yes,Yes,0.56
34,PL8420,City Palace,Jaipur,Rajasthan,Historic,26.930505,75.82547100000001,2022-12-17,2022,12,December,Saturday,Yes,Winter,Evening,Partly Cloudy,18.2,49.0,,0.87,4.6,One of the most beautiful places I have ever seen in my life,1.0,Positive,High,3.0,No,,2-4 hours,Business,Yes,Yes,0.7635
35,PL7369,Ramoji Film City,Hyderabad,Telangana,Cultural,17.258209,78.680069,2024-03-16,2024,3,March,Saturday,Yes,Spring,Morning,Partly Cloudy,21.2,57.0,0.2,0.96,4.6,"Average attraction, suitable for tourists visiting nearby",0.0,Neutral,Medium,2.0,Yes,0.0,4-6 hours,Family,No,Yes,0.741
36,PL4800,Thirumalai Nayakkar Palace,Madurai,Tamil Nadu,Historic,9.916539,78.122788,2021-10-09,2021,10,October,Saturday,Yes,Winter,Afternoon,Clear,11.3,62.0,1.6,0.93,4.0,"Worth every penny, the view was absolutely spectacular",0.0,Neutral,Medium,2.0,No,20.0,2-4 hours,Business,No,Yes,0.6975
37,PL4820,Amber Fort,Jaipur,Rajasthan,Historic,26.984447999999997,75.84634299999999,2024-03-13,2024,3,March,Wednesday,No,Spring,Afternoon,Foggy,,46.0,0.9,0.23,4.8,"Loved the local food stalls nearby, great overall trip",1.0,Positive,High,,Yes,0.0,1-2 hours,Business,Yes,Yes,0.6155
38,PL1787,Alappuzha Beach,Alleppey,Kerala,Natural,,76.32984,2022-11-01,2022,11,November,Tuesday,No,Winter,Morning,Partly Cloudy,17.8,77.0,2.9,0.83,4.5,,0.0,Neutral,High,3.0,No,250.0,2-4 hours,Group,Yes,Yes,0.6225
39,PL5780,Pari Mahal,Srinagar,Jammu & Kashmir,Historic,34.081578,74.84704599999999,2021-07-26,2021,7,July,Monday,No,Monsoon,Morning,Windy,30.8,78.0,2.7,0.42,3.9,Reasonable entry fee for what the place offers visitors,0.0,Neutral,Low,1.0,No,150.0,< 1 hour,Family,Yes,Yes,0.664
40,PL8122,Golconda Fort,Hyderabad,Telangana,Historic,17.378498999999998,78.405322,2022-03-21,2022,3,March,Monday,No,Spring,Morning,Heavy Rain,23.6,51.0,12.2,0.35,4.4,Superb ambiance and the staff was extremely helpful,1.0,Positive,Medium,2.0,No,,4-6 hours,Solo,Yes,Yes,0.7015
41,PL8541,Gateway of India,Mumbai,Maharashtra,Monument,18.925633,72.830925,2024-09-24,2024,9,September,Tuesday,No,Monsoon,Morning,Heavy Rain,15.1,93.0,21.9,0.38,4.1,Excellent crowd management and great facilities available,1.0,Positive,Low,1.0,No,75.0,2-4 hours,Family,Yes,Yes,0.791
42,PL1954,Birla Mandir,Hyderabad,Telangana,Religious,17.410318999999998,78.47276099999999,2023-01-22,2023,1,January,Sunday,Yes,Summer,Night,Light Rain,24.2,48.0,41.1,0.61,4.9,"Moderate crowd, facilities are acceptable for the price",0.0,Neutral,Medium,2.0,Yes,0.0,1-2 hours,Family,Yes,Yes,0.6715
43,PL7901,Hazratbal Shrine,Srinagar,Jammu & Kashmir,Religious,34.129323,74.83225499999999,2022-05-29,2022,5,May,Sunday,Yes,Spring,Evening,Light Rain,30.5,56.0,32.3,0.42,4.7,One of the most beautiful places I have ever seen in my life,1.0,Positive,High,3.0,No,100.0,4-6 hours,Solo,Yes,Yes,0.657
44,PL9900,Ooty Lake,Ooty,Tamil Nadu,Natural,11.409288,76.69587899999999,2019-01-11,2019,1,January,Friday,No,Summer,Night,Light Rain,32.8,37.0,9.9,0.45,3.8,"Peaceful and serene atmosphere, highly recommended to all",1.0,Positive,Medium,2.0,No,75.0,,Couple,No,Yes,0.6905
45,PL2849,Varanasi Ghats,Varanasi,Uttar Pradesh,Religious,25.315789,83.006487,2020-04-12,2020,4,April,Sunday,Yes,Spring,Night,Windy,24.3,61.0,1.1,0.7,5.0,"Decent place to visit, nothing extraordinary but okay",0.0,,High,3.0,No,200.0,1-2 hours,Family,Yes,Yes,0.62
46,PL4820,Amber Fort,Jaipur,Rajasthan,Historic,26.984626,75.85029899999999,2020-08-29,2020,8,August,Saturday,Yes,Monsoon,Afternoon,Light Rain,25.8,94.0,7.7,0.56,4.3,One of the most beautiful places I have ever seen in my life,1.0,Positive,High,,Yes,0.0,Full Day,Business,Yes,Yes,0.668
47,PL9604,Jal Mahal,Jaipur,Rajasthan,Natural,26.950137,75.845878,2021-11-03,2021,11,November,Wednesday,No,Winter,Evening,Clear,15.1,53.0,1.7,0.78,4.6,"Good for a one time visit, average experience overall",0.0,Neutral,High,3.0,No,150.0,2-4 hours,Business,Yes,Yes,0.616
48,PL4776,Beas River,Manali,Himachal Pradesh,Natural,32.245561,77.193695,2019-08-28,2019,8,August,Wednesday,No,Monsoon,Night,Windy,24.2,79.0,2.9,0.64,3.5,Not as grand as expected but still worth a short visit,0.0,Neutral,High,3.0,No,75.0,2-4 hours,Family,Yes,Yes,0.515
49,PL1235,Charminar,Hyderabad,Telangana,Historic,17.360744,78.472798,2022-03-15,2022,3,March,Tuesday,No,Spring,Afternoon,Partly Cloudy,24.2,70.0,2.1,0.93,4.7,"Overcrowded and poorly maintained, very disappointing visit",-1.0,Negative,Low,1.0,No,75.0,Full Day,Group,Yes,,0.7145
50,PL0876,Howrah Bridge,Kolkata,West Bengal,Monument,22.582905,88.344227,2022-05-19,2022,5,May,Thursday,No,Spring,Evening,Sunny,19.2,49.0,1.7,0.83,4.8,"Very crowded on weekends, hard to enjoy the place peacefully",1.0,Positive,Low,1.0,No,75.0,< 1 hour,Solo,No,Yes,0.9455
51,PL9654,Kashi Vishwanath Temple,Varanasi,Uttar Pradesh,Religious,25.311555,83.009155,2019-04-12,2019,4,April,Friday,No,Spring,Afternoon,Windy,,56.0,2.3,0.52,4.0,"Overcrowded and poorly maintained, very disappointing visit",-1.0,Negative,Medium,2.0,Yes,0.0,2-4 hours,Group,Yes,Yes,0.47
52,PL8460,Karanji Lake,Mysore,Karnataka,Natural,12.294136,76.644834,2020-03-10,2020,3,March,Tuesday,No,Spring,Afternoon,Heavy Rain,28.8,65.0,14.0,0.12,4.5,Amazing historical significance and stunning architecture,1.0,Positive,High,3.0,No,50.0,Full Day,Couple,No,Yes,0.57
53,PL7835,Hawa Mahal,Jaipur,Rajasthan,Historic,26.927159,75.823803,2024-10-07,2024,10,October,Monday,No,Winter,Morning,Clear,14.7,60.0,,,4.4,Wonderful place to spend quality time with family,1.0,Positive,Medium,2.0,No,75.0,2-4 hours,Group,Yes,Yes,0.819
54,PL6568,Humayun's Tomb,Delhi,Delhi,Historic,28.593539,77.245904,2024-08-08,2024,8,August,Thursday,No,Monsoon,Morning,Cloudy,27.9,85.0,49.3,0.48,4.8,"Mesmerizing beauty, the sunset here was simply divine",1.0,Positive,Low,1.0,Yes,0.0,2-4 hours,Group,Yes,Yes,0.858
55,PL4800,Thirumalai Nayakkar Palace,Madurai,Tamil Nadu,Historic,9.91296,78.123918,2020-11-28,2020,11,November,Saturday,Yes,Winter,Night,Windy,15.3,72.0,2.2,0.66,5.0,"Worth every penny, the view was absolutely spectacular",0.0,Neutral,High,3.0,Yes,0.0,4-6 hours,Business,Yes,Yes,0.61
56,PL0581,Mysore Zoo,Mysore,Karnataka,Natural,12.301029,76.654451,2020-03-12,2020,3,March,Thursday,No,Spring,Afternoon,Sunny,16.8,55.0,0.8,0.99,3.9,,1.0,,Medium,2.0,Yes,0.0,< 1 hour,Couple,Yes,Yes,0.8315
57,PL1359,Salar Jung Museum,Hyderabad,Telangana,Cultural,17.372368,78.48259300000001,2024-01-18,2024,1,January,Thursday,No,Summer,Afternoon,Windy,34.2,66.0,2.6,0.62,4.8,Incredible architecture that leaves you speechless completely,1.0,Positive,Medium,2.0,No,75.0,4-6 hours,Family,Yes,Yes,0.793
58,PL7999,Wagah Border,Amritsar,Punjab,Cultural,31.602074,74.579623,2021-04-29,2021,4,April,Thursday,No,Spring,Morning,Light Rain,22.4,73.0,28.1,0.42,,Very informative guides and well preserved heritage site,0.0,Neutral,High,3.0,Yes,0.0,< 1 hour,,Yes,Yes,0.532
59,PL5181,Dakshineswar Kali Temple,Kolkata,West Bengal,Religious,,88.357951,2023-12-02,2023,12,December,Saturday,Yes,Winter,Afternoon,Heavy Rain,19.9,32.0,15.3,0.11,4.8,Reasonable entry fee for what the place offers visitors,0.0,,High,3.0,Yes,0.0,< 1 hour,Solo,Yes,Yes,0.4605
60,PL7387,Chhatrapati Shivaji Museum,Mumbai,Maharashtra,Cultural,18.930374,72.835295,2020-09-18,2020,9,September,Friday,No,Monsoon,Afternoon,Heavy Rain,26.3,81.0,23.5,0.29,4.8,"Absolutely breathtaking experience, must visit for everyone",1.0,Positive,High,3.0,No,,2-4 hours,Couple,Yes,Yes,0.6305
61,PL5997,Jallianwala Bagh,Amritsar,Punjab,Historic,31.622227,74.877518,2021-01-07,2021,1,January,Thursday,No,Summer,Afternoon,Heavy Rain,23.6,52.0,38.5,0.2,4.0,Not as grand as expected but still worth a short visit,0.0,Neutral,High,3.0,No,30.0,2-4 hours,Solo,No,Yes,0.435
62,PL4820,Amber Fort,Jaipur,Rajasthan,Historic,26.987524999999998,75.848745,2020-02-17,2020,2,February,Monday,No,Summer,Night,Foggy,29.9,58.0,0.9,0.12,,Incredible architecture that leaves you speechless completely,1.0,Positive,High,3.0,No,50.0,1-2 hours,Family,Yes,Yes,0.582
63,PL9861,Dal Lake,Srinagar,Jammu & Kashmir,Natural,34.081628,74.793175,2019-08-18,2019,8,August,Sunday,Yes,Monsoon,Evening,Heavy Rain,23.7,89.0,7.4,0.14,5.0,"Peaceful and serene atmosphere, highly recommended to all",1.0,Positive,High,3.0,No,200.0,1-2 hours,Solo,Yes,Yes,0.605
64,PL4354,Partition Museum,Amritsar,Punjab,Cultural,31.630107000000002,74.872439,2023-05-02,2023,5,May,Tuesday,No,Spring,Afternoon,Foggy,23.9,58.0,0.2,0.28,3.9,Very informative guides and well preserved heritage site,0.0,Neutral,Low,1.0,No,150.0,2-4 hours,Couple,Yes,Yes,0.629
65,PL9861,Dal Lake,Srinagar,Jammu & Kashmir,Natural,34.083358,74.79941400000001,2022-01-05,2022,1,January,Wednesday,No,Summer,Morning,Windy,31.5,44.0,1.8,0.68,4.5,"Peaceful and serene atmosphere, highly recommended to all",1.0,Positive,Low,1.0,No,250.0,2-4 hours,Solo,Yes,Yes,0.89
66,PL4354,Partition Museum,Amritsar,Punjab,Cultural,31.632820000000002,74.86811,2023-12-23,2023,12,December,Saturday,Yes,Winter,Afternoon,Cloudy,21.3,66.0,31.0,0.67,4.6,One of the most beautiful places I have ever seen in my life,1.0,Positive,High,3.0,Yes,0.0,< 1 hour,Solo,Yes,Yes,0.7135
67,PL8003,Sundarbans,Kolkata,West Bengal,Natural,21.950457,88.999281,2024-03-11,2024,3,March,Monday,No,Spring,Afternoon,Heavy Rain,23.8,60.0,35.5,0.15,3.9,"Peaceful and serene atmosphere, highly recommended to all",1.0,Positive,Low,1.0,Yes,0.0,,Group,Yes,Yes,0.7215
68,PL4354,Partition Museum,Amritsar,Punjab,Cultural,31.635905,74.868897,2021-07-06,2021,7,July,Tuesday,No,Monsoon,Morning,,25.2,84.0,2.6,0.43,3.7,"Very crowded on weekends, hard to enjoy the place peacefully",1.0,Positive,Low,1.0,No,75.0,Full Day,Couple,Yes,,0.7795
69,PL6357,Brindavan Gardens,Mysore,Karnataka,Natural,12.425598,76.56819300000001,2022-05-14,2022,5,May,Saturday,Yes,Spring,Night,Partly Cloudy,18.5,57.0,0.5,0.76,4.2,"Misleading photos online, reality was quite underwhelming",-1.0,Negative,Medium,2.0,No,75.0,< 1 hour,Business,Yes,Yes,0.542
70,PL1806,Rose Garden,Ooty,Tamil Nadu,Natural,11.416971,76.70666700000001,2021-11-09,2021,11,November,Tuesday,No,Winter,Morning,Light Rain,20.4,75.0,33.8,0.67,3.6,Reasonable entry fee for what the place offers visitors,0.0,Neutral,High,3.0,No,30.0,Full Day,Group,Yes,,0.5285
71,PL8003,Sundarbans,Kolkata,West Bengal,Natural,21.953746,88.995635,2024-05-01,2024,5,May,Wednesday,No,Spring,Night,Cloudy,21.7,70.0,32.7,0.67,4.5,"Unforgettable experience, will definitely visit again soon",1.0,Positive,High,3.0,Yes,0.0,2-4 hours,Solo,Yes,Yes,0.7075
72,PL0581,Mysore Zoo,Mysore,Karnataka,Natural,12.305819,76.654132,2024-12-16,2024,12,December,Monday,No,Winter,Evening,Heavy Rain,13.7,39.0,23.1,0.16,4.7,"Overpriced for what it offers, parking was a nightmare",-1.0,Negative,High,,No,40.0,< 1 hour,Solo,Yes,Yes,0.342
73,PL7146,Marari Beach,Alleppey,Kerala,Natural,9.581759,76.298118,2020-05-02,2020,5,May,Saturday,Yes,Spring,Afternoon,Sunny,20.9,62.0,0.3,0.95,5.0,"Litter everywhere, needs better cleanliness management urgently",-1.0,Negative,High,3.0,Yes,0.0,2-4 hours,Solo,No,,0.5575
74,PL0132,Red Fort,Delhi,Delhi,Historic,28.653859999999998,77.243152,2021-04-06,2021,4,April,Tuesday,No,Spring,Night,Clear,29.1,,2.4,0.81,4.2,"Absolutely breathtaking experience, must visit for everyone",1.0,Positive,High,3.0,No,75.0,Full Day,Couple,Yes,Yes,0.7245
75,PL5443,Backwaters,Alleppey,Kerala,Natural,9.497884,76.33891000000001,2020-02-11,2020,2,February,Tuesday,No,Summer,Morning,Sunny,42.4,33.0,1.6,,5.0,"Loved the local food stalls nearby, great overall trip",1.0,Positive,Medium,2.0,No,200.0,2-4 hours,Couple,Yes,Yes,0.88
76,PL5111,Ramnagar Fort,Varanasi,Uttar Pradesh,Historic,25.281045,83.03627900000001,2024-12-11,2024,12,December,Wednesday,No,Winter,Afternoon,Heavy Rain,17.7,60.0,40.5,0.16,4.0,Amazing historical significance and stunning architecture,1.0,Positive,High,3.0,No,,Full Day,Family,Yes,Yes,0.55
77,PL9861,Dal Lake,Srinagar,Jammu & Kashmir,Natural,34.088344,74.801838,2021-12-13,2021,12,December,Monday,No,Winter,Evening,Clear,14.6,42.0,0.1,0.81,5.0,"Peaceful and serene atmosphere, highly recommended to all",1.0,Positive,High,3.0,Yes,0.0,1-2 hours,Group,Yes,Yes,0.7725
78,PL8003,Sundarbans,Kolkata,West Bengal,Natural,21.950229,88.999533,2019-12-02,2019,12,December,Monday,No,Winter,Evening,Windy,12.7,55.0,0.7,0.58,5.0,"Overpriced for what it offers, parking was a nightmare",-1.0,Negative,High,3.0,No,75.0,2-4 hours,Business,Yes,Yes,0.465
79,PL8890,Nahargarh Fort,Jaipur,Rajasthan,Historic,,75.812342,2020-03-22,2020,3,March,Sunday,Yes,Spring,Night,Sunny,15.0,63.0,0.7,0.81,4.2,"Typical tourist spot, does the job for a short visit",0.0,Neutral,High,3.0,Yes,0.0,< 1 hour,Family,No,Yes,0.5995
80,PL8460,Karanji Lake,Mysore,Karnataka,Natural,12.296081000000001,76.643349,2021-01-09,2021,1,January,Saturday,Yes,Summer,Afternoon,Light Rain,32.1,40.0,32.8,0.67,4.2,"Mixed experience, some parts well maintained others not so",0.0,Neutral,Medium,2.0,No,,Full Day,Group,Yes,Yes,0.6445
81,PL6568,Humayun's Tomb,Delhi,Delhi,Historic,28.593367,77.251483,2019-04-15,2019,4,April,Monday,No,Spring,Night,Light Rain,23.2,52.0,9.9,,4.4,Superb ambiance and the staff was extremely helpful,1.0,Positive,Medium,2.0,No,500.0,< 1 hour,Solo,No,Yes,0.7515
82,PL9336,Durgiana Temple,Amritsar,Punjab,Religious,31.620694,74.861919,2023-01-19,2023,1,January,Thursday,No,Summer,Afternoon,Partly Cloudy,34.7,,1.3,0.76,4.0,"Overcrowded and poorly maintained, very disappointing visit",-1.0,Negative,High,3.0,No,50.0,2-4 hours,Couple,Yes,Yes,0.45
83,PL6461,Juhu Beach,Mumbai,Maharashtra,Natural,19.083921,72.824577,2019-09-29,2019,9,September,Sunday,Yes,Monsoon,Night,Cloudy,20.9,86.0,26.7,0.64,4.3,"Perfect spot for photography, loved every moment here",1.0,Positive,Medium,2.0,No,200.0,2-4 hours,Family,Yes,Yes,0.768
84,PL1806,Rose Garden,Ooty,Tamil Nadu,Natural,11.420803,76.710026,2019-10-14,2019,10,October,Monday,No,Winter,Evening,Foggy,13.5,56.0,0.1,0.11,4.6,Not as grand as expected but still worth a short visit,0.0,Neutral,High,,No,75.0,< 1 hour,Group,No,Yes,0.4485
